,AGENCY-COMPANY,HEADQUARTERS,2012-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
307,GA Communication Group,Chicago,22900000,10.1,GA Communication Group,Independent
308,Upshot,Chicago,22800000,8.8,Upshot,Independent
309,Macquarium Intelligent Communications*,Atlanta,22514000,-22.0,Macquarium Intelligent Communications,Independent
310,Biolumina* [Omnicom],New York,22500000,12.5,Biolumina ,Omnicom
311,Eveo,San Francisco,22000000,-2.2,Eveo,Independent
312,180 Amsterdam/180LA* [Omnicom],"Amsterdam/Santa Monica, Calif.",21500000,7.5,180 Amsterdam/180LA ,Omnicom
313,Marquette Group,"Peoria, Ill.",21391000,2.3,Marquette Group,Independent
314,Kern Organization* [Omnicom],"Woodland Hills, Calif.",21336000,1.6,Kern Organization ,Omnicom
315,Barbarian Group [Cheil Worldwide],New York,21177000,23.4,Barbarian Group ,Cheil Worldwide
316,Didit,"Mineola, N.Y.",21100000,,Didit,Independent
317,Profero,New York,21000000,8.2,Profero,Independent
318,Zeno Group [DJE Holdings],New York,20799000,48.1,Zeno Group ,DJE Holdings
319,Phonevalley* [Publicis],Boston,20500000,2.5,Phonevalley ,Publicis
320,Tapestry* [Publicis],Chicago,20500000,11.4,Tapestry ,Publicis
321,Gage,Minneapolis,20400000,11.5,Gage,Independent
